question,answer,language,category
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
How to prevent pests in rice?,Use neem oil or pheromone traps to control pests.,en_XX,pest_control
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
How much water does paddy need?,Paddy requires about 1200mm to 1500mm of water during the season.,en_XX,water_requirements
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
How much water does paddy need?,Paddy requires about 1200mm to 1500mm of water during the season.,en_XX,water_requirements
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
How much water does paddy need?,Paddy requires about 1200mm to 1500mm of water during the season.,en_XX,water_requirements
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
How to prevent pests in rice?,Use neem oil or pheromone traps to control pests.,en_XX,pest_control
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
How to prevent pests in rice?,Use neem oil or pheromone traps to control pests.,en_XX,pest_control
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
How much water does paddy need?,Paddy requires about 1200mm to 1500mm of water during the season.,en_XX,water_requirements
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
How to prevent pests in rice?,Use neem oil or pheromone traps to control pests.,en_XX,pest_control
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
How much water does paddy need?,Paddy requires about 1200mm to 1500mm of water during the season.,en_XX,water_requirements
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
How to prevent pests in rice?,Use neem oil or pheromone traps to control pests.,en_XX,pest_control
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
How to prevent pests in rice?,Use neem oil or pheromone traps to control pests.,en_XX,pest_control
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गेहूं के लिए कौन सा उर्वरक अच्छा है?,नाइट्रोजन समृद्ध उर्वरक जैसे यूरिया और डीएपी का उपयोग करें।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
धान के लिए कितनी पानी की आवश्यकता होती है?,धान के लिए 1200mm से 1500mm पानी की आवश्यकता होती है।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गेहूं के लिए कौन सा उर्वरक अच्छा है?,नाइट्रोजन समृद्ध उर्वरक जैसे यूरिया और डीएपी का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गेहूं के लिए कौन सा उर्वरक अच्छा है?,नाइट्रोजन समृद्ध उर्वरक जैसे यूरिया और डीएपी का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
