question,answer,language,category
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
धान के लिए कितनी पानी की आवश्यकता होती है?,धान के लिए 1200mm से 1500mm पानी की आवश्यकता होती है।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गेहूं के लिए कौन सा उर्वरक अच्छा है?,नाइट्रोजन समृद्ध उर्वरक जैसे यूरिया और डीएपी का उपयोग करें।,hi_IN,general_agriculture
धान के लिए कितनी पानी की आवश्यकता होती है?,धान के लिए 1200mm से 1500mm पानी की आवश्यकता होती है।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गेहूं के लिए कौन सा उर्वरक अच्छा है?,नाइट्रोजन समृद्ध उर्वरक जैसे यूरिया और डीएपी का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गेहूं के लिए कौन सा उर्वरक अच्छा है?,नाइट्रोजन समृद्ध उर्वरक जैसे यूरिया और डीएपी का उपयोग करें।,hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गेहूं के लिए कौन सा उर्वरक अच्छा है?,नाइट्रोजन समृद्ध उर्वरक जैसे यूरिया और डीएपी का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गर्मियों के लिए कौन सी फसल अच्छी है?,"गर्मियों में मक्का, ज्वार और बाजरा उगाना अच्छा होता है।",hi_IN,general_agriculture
गेहूं के लिए कौन सा उर्वरक अच्छा है?,नाइट्रोजन समृद्ध उर्वरक जैसे यूरिया और डीएपी का उपयोग करें।,hi_IN,general_agriculture
गन्ने के लिए सबसे अच्छी मिट्टी कौन सी है?,गन्ने के लिए दोमट मिट्टी सबसे अच्छी होती है।,hi_IN,general_agriculture
चावल में कीटों से कैसे बचें?,नीम तेल या फेरोमोन ट्रैप का उपयोग करें।,hi_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
तांदळाला किती पाणी लागते?,तांदळाला सुमारे 1200mm ते 1500mm पाणी आवश्यक असते.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
तांदळाला किती पाणी लागते?,तांदळाला सुमारे 1200mm ते 1500mm पाणी आवश्यक असते.,mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
