question,answer,language,category
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
तांदळातील किडी कशा रोखायच्या?,नीम तेल किंवा फेरोमोन ट्रॅप वापरा.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
उन्हाळ्यात कोणती पिके चांगली आहेत?,"मका, ज्वारी आणि बाजरी उन्हाळ्यात चांगली उगवतात.",mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
साखरेसाठी कोणती माती सर्वोत्तम आहे?,साखरेसाठी उत्तम निचरा असलेली चिकणमाती सर्वोत्तम आहे.,mr_IN,general_agriculture
गहू साठी कोणते खत चांगले आहे?,युरिया आणि डीएपीसारखी नायट्रोजनयुक्त खते वापरा.,mr_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
আখের জন্য কোন মাটি ভালো?,আখ চাষের জন্য দোআঁশ মাটি উপযুক্ত।,bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
আখের জন্য কোন মাটি ভালো?,আখ চাষের জন্য দোআঁশ মাটি উপযুক্ত।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
আখের জন্য কোন মাটি ভালো?,আখ চাষের জন্য দোআঁশ মাটি উপযুক্ত।,bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গ্রীষ্মকালে কোন ফসল ভালো হয়?,"ভুট্টা, জোয়ার, ও বাজরা গ্রীষ্মের জন্য ভালো।",bn_IN,general_agriculture
ধানের জন্য কতটা পানি দরকার?,ধান চাষে 1200mm থেকে 1500mm জল প্রয়োজন।,bn_IN,general_agriculture
ধানের কীট প্রতিরোধের উপায় কী?,নিম তেল বা ফেরোমোন ফাঁদ ব্যবহার করুন।,bn_IN,general_agriculture
গমের জন্য সেরা সার কোনটি?,ইউরিয়া ও ডিএপি গমের জন্য ভালো।,bn_IN,general_agriculture
வெயில் காலத்தில் எந்த பயிர் சிறந்தது?,"சோளம், சொர்க்கம் மற்றும் கம்பு வெயில் காலத்திற்கு சிறந்தது.",ta_IN,general_agriculture
கோதுமை வளர்க்க சிறந்த உரம் எது?,யூரியா மற்றும் டிஏபி போன்ற நைட்ரஜன் நிறைந்த உரங்களை பயன்படுத்தவும்.,ta_IN,general_agriculture
அரிசியில் பூச்சிகளை எவ்வாறு கட்டுப்படுத்துவது?,நீம் எண்ணெய் அல்லது பெரோமோன் கொள்கலன்களை பயன்படுத்தவும்.,ta_IN,general_agriculture
கரும்புக்கான சிறந்த மண் எது?,நன்றாக வடிகட்டும் மண் கரும்புக்கு சிறந்தது.,ta_IN,general_agriculture
நெல் பயிர்க்கு எவ்வளவு தண்ணீர் தேவை?,நெல் பயிர்க்கு 1200mm முதல் 1500mm வரை நீர் தேவை.,ta_IN,general_agriculture
நெல் பயிர்க்கு எவ்வளவு தண்ணீர் தேவை?,நெல் பயிர்க்கு 1200mm முதல் 1500mm வரை நீர் தேவை.,ta_IN,general_agriculture
